edible-poisonous,cap-shape,cap-surface,cap-color,bruises,odor,colony
edible,convex,smooth,yellow,bruises,anise,34
edible,sunken,fibrous,grey,no,none,1
edible,convex,fibrous,white,bruises,almond,2
edible,convex,smooth,yellow,bruises,almond,47
poisonous,convex,scaly,white,bruises,pungent,1
edible,convex,scaly,yellow,bruises,anise,7
edible,sunken,fibrous,grey,no,none,1
edible,convex,scaly,yellow,bruises,anise,1
edible,convex,smooth,yellow,bruises,anise,2
edible,sunken,fibrous,brown,no,none,1
poisonous,convex,smooth,white,bruises,pungent,2
edible,convex,scaly,white,bruises,almond,32
poisonous,flat,scaly,brown,bruises,pungent,2
edible,flat,smooth,grey,no,none,544
edible,convex,smooth,yellow,bruises,anise,9
edible,convex,smooth,white,no,none,6
edible,bell,smooth,yellow,bruises,almond,51
edible,flat,fibrous,grey,no,none,922
edible,convex,smooth,white,bruises,anise,50
edible,bell,smooth,white,bruises,anise,6
edible,bell,smooth,white,bruises,anise,6
edible,bell,scaly,white,bruises,anise,9
edible,flat,smooth,white,bruises,anise,1
edible,convex,scaly,yellow,bruises,anise,6
edible,flat,smooth,white,bruises,almond,1
poisonous,convex,scaly,white,bruises,pungent,1
edible,flat,fibrous,white,bruises,anise,2
edible,convex,scaly,yellow,bruises,almond,9
poisonous,convex,smooth,brown,bruises,pungent,2
edible,bell,smooth,yellow,bruises,anise,40
edible,convex,scaly,brown,bruises,almond,1
edible,bell,scaly,yellow,bruises,anise,53
edible,sunken,fibrous,brown,no,none,2
edible,flat,scaly,brown,bruises,almond,1
edible,convex,scaly,yellow,bruises,almond,37
edible,convex,fibrous,grey,no,none,9
edible,flat,fibrous,white,no,none,991
edible,convex,scaly,yellow,bruises,anise,31
edible,bell,smooth,yellow,bruises,anise,32
edible,bell,scaly,white,bruises,almond,50
edible,convex,scaly,white,bruises,almond,7
edible,convex,smooth,brown,no,none,715
edible,convex,scaly,white,bruises,anise,7
edible,sunken,fibrous,brown,no,none,1
edible,convex,smooth,white,bruises,almond,1
edible,convex,scaly,brown,bruises,anise,9
edible,bell,scaly,yellow,bruises,almond,36
edible,convex,scaly,white,bruises,almond,49
edible,bell,scaly,white,bruises,almond,7
edible,bell,smooth,yellow,bruises,almond,9
edible,bell,smooth,yellow,bruises,anise,7
edible,bell,scaly,yellow,bruises,almond,58
edible,convex,fibrous,brown,no,none,1
edible,flat,scaly,brown,bruises,anise,1
edible,convex,scaly,white,bruises,almond,6
edible,flat,scaly,yellow,bruises,anise,1
edible,bell,smooth,white,bruises,almond,7
edible,bell,smooth,white,bruises,almond,7
edible,convex,scaly,brown,bruises,anise,1
edible,bell,smooth,white,bruises,almond,9
edible,convex,fibrous,grey,no,none,1
edible,bell,smooth,yellow,bruises,anise,7
edible,convex,fibrous,yellow,bruises,anise,1
edible,bell,scaly,yellow,bruises,almond,8
edible,flat,scaly,yellow,bruises,anise,6
edible,bell,scaly,white,bruises,anise,43
edible,bell,scaly,white,bruises,almond,55
edible,bell,scaly,yellow,bruises,almond,9
edible,convex,scaly,yellow,bruises,anise,41
edible,bell,smooth,yellow,bruises,anise,33
poisonous,convex,scaly,white,bruises,pungent,2
edible,sunken,fibrous,brown,no,none,1
edible,flat,fibrous,brown,no,none,1
edible,convex,smooth,yellow,bruises,almond,6
edible,flat,scaly,brown,bruises,almond,6
poisonous,convex,scaly,white,bruises,pungent,8
edible,bell,smooth,white,bruises,anise,8
edible,flat,fibrous,grey,no,none,1
edible,bell,scaly,yellow,bruises,anise,33
edible,convex,scaly,brown,bruises,almond,1
edible,convex,fibrous,white,no,none,8
edible,convex,smooth,white,bruises,anise,2
edible,flat,smooth,yellow,bruises,almond,2
edible,convex,smooth,yellow,bruises,almond,45
edible,flat,fibrous,grey,no,none,1
edible,bell,smooth,yellow,bruises,almond,6
edible,convex,smooth,white,bruises,anise,51
edible,convex,scaly,white,bruises,anise,8
edible,flat,smooth,white,bruises,almond,1
edible,convex,scaly,yellow,bruises,anise,7
edible,bell,smooth,white,bruises,anise,8
edible,convex,smooth,white,bruises,almond,59
edible,convex,fibrous,white,no,none,7
edible,flat,scaly,brown,bruises,anise,1
poisonous,convex,smooth,white,bruises,pungent,2
edible,bell,smooth,white,bruises,almond,32
edible,bell,smooth,white,bruises,almond,6
edible,bell,scaly,white,bruises,anise,30
edible,bell,scaly,white,bruises,almond,55
edible,convex,smooth,yellow,bruises,almond,7
edible,bell,smooth,white,bruises,anise,39
edible,convex,fibrous,yellow,bruises,almond,1
edible,convex,fibrous,grey,no,none,1
edible,flat,scaly,yellow,bruises,almond,9
edible,bell,smooth,white,bruises,anise,58
edible,convex,smooth,yellow,bruises,almond,9
edible,convex,scaly,yellow,bruises,almond,8
edible,convex,scaly,white,bruises,anise,6
edible,sunken,fibrous,grey,no,none,1
edible,convex,smooth,white,bruises,almond,34
poisonous,convex,smooth,white,bruises,pungent,6
edible,convex,scaly,yellow,bruises,almond,9
edible,flat,fibrous,white,bruises,almond,2
edible,convex,scaly,white,bruises,anise,54
edible,bell,scaly,white,bruises,anise,7
edible,convex,smooth,white,bruises,almond,44
poisonous,convex,scaly,brown,bruises,pungent,1
edible,bell,smooth,yellow,bruises,almond,44
edible,convex,fibrous,grey,no,none,1
poisonous,convex,scaly,white,bruises,pungent,6
edible,convex,scaly,yellow,bruises,anise,1
edible,flat,fibrous,brown,no,none,1
edible,bell,smooth,white,bruises,anise,58
edible,convex,fibrous,white,bruises,anise,2
edible,convex,scaly,white,bruises,anise,6
edible,bell,scaly,yellow,bruises,anise,7
edible,convex,scaly,yellow,bruises,anise,7
edible,flat,scaly,yellow,bruises,almond,8
edible,flat,scaly,yellow,bruises,almond,1
edible,convex,smooth,white,bruises,anise,9
edible,convex,smooth,white,bruises,almond,57
poisonous,convex,smooth,white,bruises,pungent,1
edible,flat,fibrous,white,bruises,almond,1
edible,convex,smooth,white,bruises,anise,6
edible,convex,smooth,white,bruises,anise,2
edible,convex,scaly,white,bruises,almond,7
edible,flat,scaly,yellow,bruises,anise,1
edible,convex,smooth,brown,no,none,8
edible,flat,scaly,yellow,bruises,almond,1
poisonous,convex,smooth,brown,bruises,pungent,8
edible,sunken,fibrous,brown,no,none,1
edible,bell,scaly,yellow,bruises,anise,9
edible,bell,smooth,white,bruises,anise,7
edible,bell,scaly,white,bruises,anise,30
edible,flat,fibrous,brown,no,none,1
edible,convex,smooth,white,bruises,almond,55
edible,bell,scaly,white,bruises,anise,38
edible,bell,scaly,white,bruises,almond,32
edible,flat,scaly,brown,bruises,anise,8
poisonous,convex,scaly,white,bruises,pungent,2
edible,convex,smooth,white,bruises,almond,37
edible,convex,scaly,white,bruises,almond,7
edible,flat,fibrous,white,bruises,anise,1
edible,flat,fibrous,grey,no,none,1
edible,flat,smooth,grey,no,none,844
edible,convex,scaly,yellow,bruises,almond,6
edible,bell,smooth,white,bruises,almond,7
poisonous,flat,scaly,brown,bruises,pungent,9
edible,convex,smooth,white,bruises,anise,33
poisonous,flat,smooth,brown,bruises,pungent,2
edible,convex,scaly,white,bruises,anise,7
edible,convex,scaly,yellow,bruises,almond,50
edible,flat,scaly,yellow,bruises,almond,8
edible,convex,scaly,brown,bruises,almond,6
edible,flat,scaly,brown,bruises,almond,1
edible,convex,scaly,white,bruises,almond,52
edible,flat,fibrous,brown,no,none,7
edible,convex,smooth,yellow,bruises,anise,47
poisonous,convex,scaly,white,bruises,pungent,6
edible,bell,scaly,yellow,bruises,almond,36
edible,sunken,fibrous,brown,no,none,1
edible,convex,smooth,yellow,bruises,anise,8
edible,bell,scaly,white,bruises,anise,34
edible,flat,scaly,brown,bruises,almond,9
edible,bell,scaly,yellow,bruises,almond,7
edible,bell,scaly,white,bruises,almond,6
edible,convex,scaly,brown,bruises,anise,1
edible,flat,fibrous,grey,no,none,1
edible,convex,fibrous,grey,no,none,1
edible,bell,scaly,yellow,bruises,anise,8
edible,convex,smooth,yellow,bruises,anise,9
edible,bell,scaly,white,bruises,anise,9
edible,convex,smooth,white,bruises,almond,8
edible,bell,smooth,yellow,bruises,almond,35
edible,convex,smooth,yellow,bruises,almond,9
edible,convex,fibrous,grey,no,none,8
edible,flat,smooth,yellow,bruises,almond,1
poisonous,convex,scaly,white,bruises,pungent,9
edible,convex,fibrous,white,no,none,532
edible,bell,scaly,white,bruises,almond,6
edible,convex,smooth,yellow,bruises,anise,2
edible,bell,scaly,white,bruises,almond,9
edible,convex,scaly,white,bruises,anise,6
edible,convex,fibrous,brown,bruises,none,1
edible,bell,scaly,white,bruises,anise,8
edible,convex,smooth,yellow,bruises,anise,41
edible,flat,scaly,brown,bruises,almond,1
edible,convex,fibrous,white,no,none,7
edible,convex,smooth,yellow,bruises,anise,9
poisonous,convex,scaly,white,bruises,pungent,1
edible,convex,scaly,yellow,bruises,anise,7
edible,convex,fibrous,white,bruises,almond,2
edible,bell,smooth,yellow,bruises,almond,46
poisonous,convex,scaly,white,bruises,pungent,2
edible,convex,smooth,yellow,bruises,almond,2
edible,convex,scaly,white,bruises,almond,42
edible,convex,fibrous,white,bruises,anise,2
edible,flat,smooth,white,bruises,anise,2
edible,convex,scaly,yellow,bruises,anise,7
edible,flat,fibrous,yellow,bruises,almond,2
edible,convex,smooth,white,bruises,almond,8
edible,bell,scaly,yellow,bruises,almond,6
edible,convex,scaly,brown,bruises,anise,7
edible,bell,scaly,white,bruises,anise,39
edible,convex,smooth,yellow,bruises,almond,7
poisonous,convex,scaly,brown,bruises,pungent,2
edible,bell,smooth,yellow,bruises,anise,58
edible,bell,scaly,white,bruises,almond,33
poisonous,convex,scaly,brown,bruises,pungent,2
edible,bell,smooth,white,bruises,anise,6
edible,bell,scaly,yellow,bruises,anise,59
edible,bell,scaly,yellow,bruises,almond,6
edible,convex,scaly,white,bruises,anise,50
edible,convex,fibrous,brown,bruises,none,1
edible,convex,scaly,brown,bruises,almond,1
edible,bell,smooth,yellow,bruises,anise,7
edible,convex,fibrous,grey,no,none,2
edible,convex,scaly,brown,bruises,anise,1
edible,convex,smooth,white,bruises,almond,6
edible,bell,scaly,white,bruises,almond,58
edible,convex,smooth,yellow,bruises,almond,6
edible,flat,fibrous,yellow,bruises,almond,1
edible,bell,scaly,yellow,bruises,anise,7
edible,convex,fibrous,brown,no,none,956
edible,convex,fibrous,yellow,bruises,anise,1
edible,convex,smooth,yellow,bruises,almond,38
edible,flat,smooth,grey,no,none,9
edible,convex,fibrous,brown,no,none,1
edible,flat,smooth,grey,no,none,780
edible,flat,scaly,brown,bruises,almond,6
edible,bell,scaly,white,bruises,almond,9
edible,bell,smooth,yellow,bruises,almond,8
edible,convex,scaly,yellow,bruises,anise,8
edible,sunken,fibrous,grey,no,none,2
edible,flat,scaly,brown,bruises,almond,1
poisonous,convex,scaly,brown,bruises,pungent,8
edible,convex,scaly,yellow,bruises,almond,1
edible,convex,fibrous,brown,no,none,7
edible,convex,fibrous,brown,no,none,888
edible,flat,smooth,brown,no,none,542
edible,flat,scaly,brown,bruises,almond,7
edible,convex,smooth,yellow,bruises,almond,39
edible,flat,fibrous,brown,no,none,1
edible,convex,scaly,yellow,bruises,almond,7
edible,convex,fibrous,yellow,bruises,almond,1
edible,bell,scaly,yellow,bruises,almond,53
edible,convex,fibrous,grey,no,none,8
edible,convex,scaly,yellow,bruises,almond,6
edible,flat,scaly,brown,bruises,anise,1
edible,convex,smooth,yellow,bruises,almond,8
edible,sunken,fibrous,brown,no,none,1
edible,convex,smooth,white,bruises,almond,8
edible,bell,smooth,white,bruises,anise,30
edible,sunken,fibrous,brown,no,none,1
edible,bell,scaly,yellow,bruises,anise,50
edible,convex,scaly,yellow,bruises,anise,39
edible,bell,scaly,yellow,bruises,almond,8
poisonous,convex,scaly,brown,bruises,pungent,6
edible,convex,smooth,white,no,none,9
edible,convex,scaly,white,bruises,almond,8
edible,bell,smooth,white,bruises,almond,54
edible,convex,fibrous,brown,bruises,none,1
poisonous,convex,smooth,brown,bruises,pungent,6
edible,convex,scaly,brown,bruises,anise,1
edible,convex,smooth,brown,no,none,743
edible,bell,scaly,yellow,bruises,anise,58
edible,convex,smooth,yellow,bruises,almond,31
edible,bell,smooth,yellow,bruises,almond,8
edible,convex,smooth,yellow,bruises,anise,39
edible,bell,scaly,white,bruises,almond,39
edible,convex,fibrous,grey,no,none,2
edible,flat,scaly,brown,bruises,almond,8
edible,convex,fibrous,grey,no,none,858
edible,convex,smooth,white,bruises,anise,36
edible,convex,scaly,yellow,bruises,anise,8
edible,convex,fibrous,grey,no,none,1
poisonous,convex,smooth,brown,bruises,pungent,6
edible,bell,scaly,white,bruises,anise,56
poisonous,convex,scaly,brown,bruises,pungent,1
edible,bell,smooth,yellow,bruises,anise,9
edible,convex,smooth,white,bruises,anise,9
edible,convex,scaly,yellow,bruises,anise,8
edible,bell,scaly,yellow,bruises,anise,32
edible,convex,smooth,white,bruises,almond,7
edible,convex,smooth,white,bruises,almond,8
edible,convex,scaly,brown,bruises,anise,1
edible,convex,smooth,white,bruises,almond,9
edible,convex,smooth,brown,no,none,8
edible,convex,scaly,brown,bruises,anise,7
edible,convex,scaly,yellow,bruises,anise,1
poisonous,convex,scaly,brown,bruises,pungent,2
edible,bell,scaly,yellow,bruises,almond,46
edible,convex,fibrous,white,bruises,anise,2
poisonous,convex,smooth,brown,bruises,pungent,6
edible,convex,scaly,yellow,bruises,anise,54
edible,flat,fibrous,grey,no,none,614
edible,convex,scaly,white,bruises,anise,8
edible,bell,scaly,white,bruises,almond,6
poisonous,convex,scaly,brown,bruises,pungent,6
edible,flat,scaly,brown,bruises,anise,6
edible,convex,smooth,white,bruises,anise,56
edible,flat,scaly,brown,bruises,almond,1
edible,bell,smooth,white,bruises,almond,50
edible,convex,smooth,white,no,none,558
edible,flat,fibrous,grey,no,none,1
edible,convex,scaly,white,bruises,almond,8
edible,convex,scaly,yellow,bruises,anise,1
edible,bell,smooth,yellow,bruises,anise,7
edible,bell,smooth,yellow,bruises,anise,7
edible,flat,smooth,white,bruises,anise,1
edible,bell,smooth,white,bruises,almond,36
edible,convex,fibrous,yellow,bruises,almond,1
edible,convex,scaly,white,bruises,anise,44
edible,bell,scaly,yellow,bruises,anise,49
edible,convex,scaly,brown,bruises,almond,1
edible,convex,scaly,white,bruises,anise,6
edible,convex,scaly,white,bruises,anise,8
edible,convex,scaly,yellow,bruises,almond,1
edible,convex,scaly,white,bruises,anise,55
edible,convex,smooth,yellow,bruises,anise,47
edible,convex,scaly,brown,bruises,anise,8
edible,convex,smooth,white,bruises,anise,48
edible,flat,scaly,brown,bruises,anise,7
edible,bell,smooth,white,bruises,anise,7
edible,convex,fibrous,brown,bruises,none,1
edible,convex,scaly,white,bruises,anise,8
edible,bell,smooth,white,bruises,anise,40
edible,bell,smooth,yellow,bruises,anise,32
edible,convex,fibrous,yellow,bruises,anise,2
edible,bell,smooth,white,bruises,anise,38
edible,convex,smooth,grey,no,none,874
edible,bell,smooth,white,bruises,almond,33
edible,bell,smooth,yellow,bruises,anise,9
edible,flat,scaly,yellow,bruises,almond,1
edible,flat,scaly,brown,bruises,almond,1
edible,convex,smooth,white,bruises,almond,8
edible,flat,scaly,yellow,bruises,anise,6
edible,bell,smooth,white,bruises,almond,9
edible,convex,scaly,yellow,bruises,almond,58
edible,convex,fibrous,brown,no,none,1
edible,flat,scaly,brown,bruises,almond,1
edible,convex,smooth,white,bruises,almond,32
edible,convex,smooth,yellow,bruises,anise,46
edible,bell,scaly,yellow,bruises,anise,37
edible,flat,scaly,yellow,bruises,almond,8
edible,convex,scaly,yellow,bruises,anise,40
edible,convex,scaly,white,bruises,almond,51
edible,flat,fibrous,white,bruises,almond,2
edible,sunken,fibrous,grey,no,none,1
edible,flat,smooth,yellow,bruises,anise,2
edible,flat,fibrous,grey,no,none,1
edible,convex,fibrous,brown,no,none,1
edible,bell,scaly,white,bruises,almond,46
edible,convex,smooth,white,bruises,almond,2
edible,bell,scaly,yellow,bruises,anise,9
edible,bell,scaly,yellow,bruises,almond,9
edible,bell,scaly,yellow,bruises,anise,6
edible,flat,smooth,white,bruises,anise,2
edible,flat,fibrous,grey,no,none,1
edible,flat,smooth,white,bruises,almond,1
edible,flat,scaly,yellow,bruises,almond,1
edible,convex,scaly,white,bruises,anise,9
edible,sunken,fibrous,brown,no,none,1
edible,convex,scaly,brown,bruises,anise,6
edible,convex,scaly,brown,bruises,almond,7
edible,flat,fibrous,yellow,bruises,almond,2
poisonous,flat,smooth,brown,bruises,pungent,9
poisonous,convex,smooth,brown,bruises,pungent,2
edible,flat,scaly,brown,bruises,anise,9
edible,convex,scaly,yellow,bruises,almond,8
edible,bell,smooth,yellow,bruises,almond,39
edible,flat,fibrous,white,no,none,786
edible,flat,scaly,brown,bruises,almond,7
edible,convex,scaly,white,bruises,almond,6
edible,bell,smooth,yellow,bruises,anise,45
edible,convex,smooth,yellow,bruises,almond,53
edible,bell,scaly,yellow,bruises,almond,35
edible,convex,smooth,white,bruises,anise,44
edible,bell,smooth,yellow,bruises,almond,8
edible,bell,scaly,yellow,bruises,almond,7
poisonous,convex,smooth,brown,bruises,pungent,1
edible,convex,smooth,grey,no,none,6
edible,flat,smooth,brown,no,none,776
edible,convex,fibrous,white,bruises,almond,1
edible,flat,fibrous,grey,no,none,2
edible,flat,fibrous,brown,no,none,1
edible,bell,scaly,yellow,bruises,almond,7
edible,convex,fibrous,white,bruises,almond,1
edible,sunken,fibrous,grey,no,none,1
edible,convex,fibrous,brown,no,none,1
edible,convex,fibrous,white,no,none,523
edible,convex,scaly,brown,bruises,anise,1
edible,bell,smooth,yellow,bruises,almond,37
edible,convex,scaly,white,bruises,anise,8
edible,convex,scaly,yellow,bruises,almond,52
edible,bell,smooth,white,bruises,anise,8
edible,flat,scaly,yellow,bruises,almond,1
poisonous,convex,smooth,brown,bruises,pungent,9
edible,flat,fibrous,grey,no,none,1
edible,bell,smooth,yellow,bruises,anise,8
edible,flat,scaly,brown,bruises,almond,6
edible,convex,smooth,yellow,bruises,almond,9
edible,convex,fibrous,brown,no,none,1
edible,flat,scaly,yellow,bruises,almond,1
edible,convex,scaly,brown,bruises,almond,1
edible,convex,smooth,white,bruises,almond,8
poisonous,convex,scaly,white,bruises,pungent,6
edible,flat,scaly,brown,bruises,anise,1
poisonous,flat,smooth,brown,bruises,pungent,9
edible,convex,fibrous,white,no,none,9
edible,bell,scaly,white,bruises,almond,8
edible,sunken,fibrous,brown,no,none,1
edible,convex,scaly,yellow,bruises,anise,6
edible,flat,smooth,white,bruises,almond,2
edible,convex,smooth,yellow,bruises,almond,8
edible,flat,fibrous,grey,no,none,8
poisonous,convex,scaly,white,bruises,pungent,9
edible,convex,scaly,yellow,bruises,almond,9
edible,flat,fibrous,brown,no,none,686
edible,convex,smooth,white,bruises,almond,7
edible,bell,scaly,yellow,bruises,anise,8
edible,flat,fibrous,grey,no,none,2
edible,convex,fibrous,yellow,bruises,anise,2
edible,convex,smooth,yellow,bruises,almond,33
edible,flat,fibrous,brown,no,none,1
edible,convex,fibrous,grey,no,none,7
edible,convex,scaly,yellow,bruises,anise,9
edible,flat,smooth,white,bruises,anise,1
edible,convex,smooth,yellow,bruises,anise,6
edible,flat,scaly,yellow,bruises,almond,1
poisonous,convex,scaly,brown,bruises,pungent,2
edible,convex,fibrous,white,bruises,anise,2
edible,convex,smooth,white,bruises,anise,51
edible,convex,scaly,yellow,bruises,almond,48
edible,bell,smooth,yellow,bruises,almond,7
edible,convex,smooth,yellow,bruises,almond,1
edible,convex,smooth,yellow,bruises,almond,2
edible,convex,fibrous,white,no,none,7
edible,bell,smooth,white,bruises,almond,7
poisonous,convex,scaly,white,bruises,pungent,2
edible,convex,scaly,yellow,bruises,almond,39
edible,flat,smooth,grey,no,none,6
poisonous,convex,smooth,brown,bruises,pungent,6
edible,bell,scaly,white,bruises,almond,57
edible,convex,smooth,white,bruises,almond,42
edible,flat,fibrous,yellow,bruises,anise,2
edible,convex,smooth,yellow,bruises,almond,53
edible,bell,scaly,white,bruises,anise,35
edible,convex,scaly,brown,bruises,almond,1
edible,convex,smooth,yellow,bruises,anise,7
edible,convex,fibrous,brown,no,none,2
edible,convex,smooth,yellow,bruises,anise,6
edible,convex,scaly,yellow,bruises,anise,1
poisonous,convex,smooth,brown,bruises,pungent,7
edible,convex,smooth,white,bruises,almond,59
edible,convex,smooth,yellow,bruises,almond,8
edible,convex,scaly,white,bruises,anise,36
edible,convex,scaly,yellow,bruises,almond,1
edible,flat,scaly,yellow,bruises,almond,8
edible,convex,scaly,white,bruises,almond,9
edible,sunken,fibrous,grey,no,none,2
edible,flat,fibrous,brown,no,none,1
edible,sunken,fibrous,grey,no,none,1
edible,convex,scaly,white,bruises,almond,30
poisonous,convex,smooth,white,bruises,pungent,6
edible,convex,smooth,grey,no,none,6
edible,convex,scaly,yellow,bruises,anise,8
poisonous,convex,scaly,white,bruises,pungent,9
edible,convex,smooth,yellow,bruises,almond,42
poisonous,convex,smooth,brown,bruises,pungent,2
edible,bell,smooth,yellow,bruises,anise,52
edible,bell,scaly,white,bruises,anise,8
poisonous,convex,scaly,white,bruises,pungent,9
poisonous,convex,smooth,brown,bruises,pungent,7
edible,convex,smooth,grey,no,none,556
edible,convex,scaly,brown,bruises,anise,1
edible,flat,fibrous,white,no,none,972
edible,flat,scaly,brown,bruises,anise,8
edible,bell,scaly,white,bruises,anise,9
edible,bell,smooth,white,bruises,almond,54
edible,convex,smooth,grey,no,none,9
edible,flat,scaly,brown,bruises,almond,1
edible,convex,smooth,white,bruises,anise,9
edible,flat,fibrous,grey,no,none,1
edible,flat,smooth,brown,no,none,953
edible,convex,fibrous,grey,no,none,8
edible,flat,smooth,white,no,none,701
poisonous,convex,smooth,white,bruises,pungent,9
edible,convex,scaly,yellow,bruises,anise,9
edible,bell,smooth,white,bruises,anise,8
edible,flat,fibrous,grey,no,none,825
edible,bell,scaly,white,bruises,anise,9
edible,bell,smooth,yellow,bruises,almond,57
edible,sunken,fibrous,grey,no,none,1
edible,flat,scaly,yellow,bruises,anise,7
edible,bell,smooth,white,bruises,anise,37
edible,convex,fibrous,white,bruises,anise,2
edible,flat,scaly,yellow,bruises,almond,8
edible,flat,fibrous,grey,no,none,1
edible,convex,smooth,white,bruises,anise,7
edible,flat,fibrous,yellow,bruises,anise,1
edible,sunken,fibrous,grey,no,none,1
edible,bell,scaly,white,bruises,almond,9
edible,bell,smooth,white,bruises,almond,33
edible,flat,fibrous,brown,no,none,7
edible,bell,scaly,yellow,bruises,almond,45
edible,convex,fibrous,brown,bruises,none,2
edible,convex,scaly,brown,bruises,anise,8
edible,convex,scaly,brown,bruises,almond,8
edible,bell,scaly,yellow,bruises,almond,9
edible,flat,scaly,yellow,bruises,almond,8
edible,convex,scaly,yellow,bruises,anise,31
edible,convex,smooth,brown,no,none,6
edible,convex,scaly,white,bruises,almond,7
edible,bell,scaly,yellow,bruises,anise,48
edible,convex,scaly,brown,bruises,almond,1
edible,flat,scaly,brown,bruises,anise,9
edible,flat,scaly,brown,bruises,almond,1
edible,flat,scaly,yellow,bruises,anise,9
